tick,pop,avg_dist_to_food,agents_at_food
1175,200,57.1,1
1176,200,57.1,1
1177,200,57.1,1
1178,200,57.1,1
1179,200,57.1,1
1180,200,57.1,1
1181,200,57.1,1
1182,200,57.1,1
1183,200,57.1,1
1184,200,57.1,1
1185,200,57.1,1
1186,200,57.1,1
1187,200,57.1,1
1188,200,57.1,1
1189,200,57.1,1
1190,200,57.1,1
1191,200,57.1,1
1192,200,57.1,1
1193,199,57.0,1
1194,200,57.1,1
1195,200,57.1,1
1196,200,57.1,1
1197,200,57.1,1
1198,199,57.1,1
1199,200,57.2,1
1200,200,57.2,1
1201,198,57.3,1
1202,200,57.5,1
1203,200,57.5,1
1204,200,57.5,1
1205,200,57.5,1
1206,200,57.5,1
1207,200,57.4,1
1208,200,57.4,1
1209,200,57.4,1
1210,199,57.5,1
1211,200,57.4,1
1212,200,57.4,1
1213,200,57.4,1
1214,200,57.4,1
1215,200,57.4,1
1216,199,57.3,1
1217,200,57.2,1
1218,200,57.2,1
1219,200,57.2,1
1220,200,57.2,1
1221,199,57.3,1
1222,200,57.3,1
1223,200,57.3,1
1224,200,57.3,1
1225,200,57.3,1
1226,200,57.3,1
1227,200,57.3,1
1228,200,57.3,1
1229,200,57.3,1
1230,200,57.3,1
1231,200,57.3,1
1232,200,57.3,1
1233,200,57.3,1
1234,200,57.3,1
1235,200,57.3,1
1236,199,57.5,1
1237,200,57.6,1
1238,200,57.6,1
1239,200,57.6,1
1240,200,57.6,1
1241,200,57.5,1
1242,200,57.5,1
1243,200,57.5,1
1244,200,57.5,1
1245,199,57.3,1
1246,200,57.4,1
1247,200,57.4,1
1248,199,57.3,1
1249,200,57.5,1
1250,200,57.5,1
1251,200,57.5,1
1252,200,57.5,1
1253,200,57.5,1
1254,200,57.5,1
1255,199,57.8,1
1256,200,57.6,1
1257,200,57.6,1
1258,200,57.6,1
1259,200,57.6,1
1260,200,57.6,1
1261,200,57.5,1
1262,200,57.5,1
1263,200,57.5,1
1264,200,57.5,1
1265,200,57.5,1
1266,200,57.5,1
1267,200,57.5,1
1268,200,57.5,1
1269,200,57.5,1
1270,200,57.5,1
1271,200,57.5,1
1272,200,57.5,1
1273,200,57.6,1
1274,200,57.6,1
1275,199,57.8,1
1276,200,57.5,2
1277,200,57.5,2
1278,200,57.5,2
1279,200,57.5,2
1280,200,57.5,2
1281,200,57.5,2
1282,200,57.5,2
1283,200,57.5,2
1284,200,57.5,2
1285,200,57.5,2
1286,200,57.5,2
1287,200,57.5,2
1288,200,57.5,2
1289,200,57.5,2
1290,200,57.5,2
1291,200,57.5,2
1292,200,57.5,2
1293,200,57.5,2
1294,200,57.5,2
1295,200,57.5,2
1296,200,57.5,2
1297,200,57.5,2
1298,200,57.5,2
1299,200,57.5,2
1300,200,57.5,2
1301,200,57.5,2
1302,200,57.5,2
1303,200,57.5,2
1304,200,57.5,2
1305,200,57.5,2
1306,200,57.5,2
1307,200,57.5,2
1308,200,57.5,2
1309,200,57.5,2
1310,200,57.5,2
1311,200,57.5,2
1312,200,57.5,2
1313,200,57.5,2
1314,200,57.5,2
1315,200,57.5,2
1316,200,57.5,2
1317,200,57.5,2
1318,200,57.5,2
1319,200,57.5,2
1320,200,57.5,2
1321,200,57.5,2
1322,200,57.5,2
1323,200,57.5,2
1324,200,57.5,2
1325,200,57.5,2
1326,200,57.5,2
1327,200,57.5,2
1328,200,57.5,2
1329,200,57.5,2
1330,200,57.5,2
1331,200,57.5,2
1332,199,57.3,2
1333,200,57.3,2
1334,200,57.3,2
1335,199,57.5,2
1336,200,57.6,2
1337,200,57.6,2
1338,200,57.6,2
1339,200,57.6,2
1340,200,57.6,2
1341,200,57.6,2
1342,200,57.6,2
1343,200,57.6,2
1344,200,57.6,2
1345,200,57.6,2
1346,200,57.6,2
