tick,old_money,smart_bosses,dumb_bosses,avg_smart_energy,avg_dumb_energy
518,7,23,13,517.2498414230506,317.9702124550307
519,7,23,13,527.2699894538922,318.73573885327744
520,7,24,14,536.6755829483844,318.9830229772576
521,6,24,14,545.9726247588751,318.3311047234356
522,6,25,12,557.6618719412052,317.88016856374605
523,6,25,12,551.217930145513,317.79618848840056
524,7,25,14,562.3303676224008,317.71826437785336
525,7,25,14,556.8151001471783,319.4889122523909
526,7,25,13,550.3466066784429,318.7704896192901
527,7,25,13,543.4351548288648,317.91930885652596
528,7,25,14,537.0856809786848,317.4744275666998
529,6,25,12,530.7925158587431,317.6582470033333
530,7,25,13,543.0553165754532,319.6794058013297
531,5,25,15,555.1772704982346,318.96872515771094
532,7,24,13,548.1593857249462,318.7164278740224
533,6,25,14,559.205208057931,319.345420690894
534,7,25,16,570.1220978206851,319.88066979463264
535,7,25,15,581.4109927588166,319.2313090794626
536,6,25,14,574.0674683012548,318.5466411999366
537,7,25,10,566.7911850765122,317.5626763160908
538,6,25,13,559.5817133099017,319.235061010784
539,6,25,13,552.9386238252338,318.01613613677205
540,7,25,14,546.856088072734,319.36873932753946
